Date,Mode,Rank,Priority,Stock,Signal,Conviction,Entry,Stop,Target,RR,Current Price,Stop Away,Target Away,Status,First Hit,Hit Date,Result,R,Days,Notes
2026-05-26,Swing,1,Highest Priority,IRFC,SELL,94,98.79,103.91,88.55,2.0,100.45,,,Pending Trigger,,,,,0,Top 3 Swing scanner pick
2026-05-26,Swing,2,Highest Priority,TCS,SELL,94,2288.41,2383.63,2097.98,2.0,2308.2,,,Pending Trigger,,,,,0,Top 3 Swing scanner pick
2026-05-26,Swing,3,Highest Priority,TVSMOTOR,SELL,92,3413.16,3660.76,2917.96,2.0,3469.5,,,Pending Trigger,,,,,0,Top 3 Swing scanner pick
2026-05-26,Swing,1,Highest Priority,ASIANPAINT,BUY,94,2670.03,2492.08,3025.93,2.0,2639.8,,,Pending Trigger,,,,,0,Top 3 Swing scanner pick
2026-05-26,Swing,2,Highest Priority,BANKBARODA,SELL,94,262.22,271.97,242.74,2.0,265.4,,,Pending Trigger,,,,,0,Top 3 Swing scanner pick
2026-05-26,Swing,3,Highest Priority,DIVISLAB,BUY,94,6974.42,6618.52,7686.22,2.0,6887.0,,,Pending Trigger,,,,,0,Top 3 Swing scanner pick
2026-05-26,Intraday,1,Highest Priority,BHEL,BUY,94,421.34,410.53,442.97,2.0,419.45,,,Pending Trigger,,,,,0,Top 3 Intraday scanner pick
2026-05-25,Swing,1,Highest Priority,IRFC,SELL,94,98.79,103.91,88.55,2.0,100.45,+₹3.46 / +3.44%,+₹11.90 / +11.85%,Pending Trigger,,,,,1,Top 3 Swing scanner pick
2026-05-25,Swing,2,Highest Priority,TCS,SELL,94,2288.41,2383.63,2097.98,2.0,2308.2,+₹75.43 / +3.27%,+₹210.22 / +9.11%,Pending Trigger,,,,,1,Top 3 Swing scanner pick
2026-05-25,Intraday,1,Highest Priority,BHEL,BUY,94,421.34,410.53,442.97,2.0,419.45,+₹8.92 / +2.13%,+₹23.52 / +5.61%,Pending Trigger,,,,,1,Top 3 Intraday scanner pick
2026-05-25,Swing,1,Highest Priority,DIVISLAB,BUY,94,6958.89,6617.25,7642.18,2.0,6756.5,+₹139.25 / +2.06%,+₹885.68 / +13.11%,Pending Trigger,,,,,1,Top 3 Swing scanner pick
2026-05-25,Swing,1,Highest Priority,ASIANPAINT,BUY,94,2670.03,2492.08,3025.93,2.0,2657.8,+₹165.72 / +6.24%,+₹368.13 / +13.85%,Active After Trigger,,,,,1,Top 3 Swing scanner pick
2026-05-25,Swing,2,Highest Priority,BANKBARODA,SELL,94,262.22,271.97,242.74,2.0,272.25,-₹0.28 / -0.10%,+₹29.51 / +10.84%,Pending Trigger,,,,,1,Top 3 Swing scanner pick
2026-05-25,Swing,3,Highest Priority,DIVISLAB,BUY,94,6974.42,6618.52,7686.22,2.0,6756.5,+₹137.98 / +2.04%,+₹929.72 / +13.76%,Pending Trigger,,,,,1,Top 3 Swing scanner pick
