Symbol,Signal,Close,Entry Trigger,Stop Loss,Target,Change%,Volume Ratio,Distance to Breakout%,Distance to Breakdown%,Score
BAJFINANCE.NS,BUY WATCHLIST,937.0,937.0,916.6,977.8,0.75,2.8,0.0,2.18,8.0
KPITTECH.NS,BUY WATCHLIST,759.05,758.9,737.0,802.7,2.57,1.67,-0.02,2.9,7.98
SUNTV.NS,BUY WATCHLIST,605.6,605.4,584.0,648.2,3.3,1.65,-0.03,3.57,7.97
HOMEFIRST.NS,BUY WATCHLIST,1161.7,1161.25,1123.4,1236.95,0.57,1.08,-0.04,3.3,7.96
CGCL.NS,BUY WATCHLIST,186.18,186.3,182.5,193.9,1.36,1.65,0.06,1.98,7.94
CONCOR.NS,SELL WATCHLIST,508.85,508.5,521.95,481.6,-1.12,1.18,2.57,0.07,7.93
NAVINFLUOR.NS,BUY WATCHLIST,6821.0,6816.0,6660.0,7128.0,0.92,7.73,-0.07,2.36,7.93
IOB.NS,SELL WATCHLIST,35.0,35.03,36.39,32.31,-0.48,1.25,3.97,-0.09,7.91
ICICIGI.NS,SELL WATCHLIST,1763.2,1765.1,1806.7,1681.9,-0.42,1.18,2.47,-0.11,7.89
GLENMARK.NS,SELL WATCHLIST,2406.3,2403.7,2474.0,2263.1,-0.31,1.14,2.81,0.11,7.89
HSCL.NS,BUY WATCHLIST,607.75,608.5,570.05,685.4,1.02,1.43,0.12,6.2,7.88
SBICARD.NS,SELL WATCHLIST,643.9,643.05,661.05,607.05,-1.12,1.37,2.66,0.13,7.87
M&M.NS,SELL WATCHLIST,3097.5,3092.0,3192.0,2892.0,-1.74,1.13,3.05,0.18,7.82
RELIANCE.NS,BUY WATCHLIST,1430.8,1433.8,1391.3,1518.8,0.38,1.38,0.21,2.76,7.79
TVSMOTOR.NS,SELL WATCHLIST,3492.9,3501.0,3602.0,3299.0,-1.72,1.06,3.12,-0.23,7.77
GODREJPROP.NS,SELL WATCHLIST,1835.2,1831.0,1883.8,1725.4,-1.46,1.06,2.65,0.23,7.77
CREDITACC.NS,BUY WATCHLIST,1300.1,1297.0,1259.4,1372.2,0.85,1.11,-0.24,3.13,7.76
CASTROLIND.NS,BUY WATCHLIST,184.82,185.3,182.85,190.2,0.1,1.02,0.26,1.07,7.74
M&MFIN.NS,SELL WATCHLIST,310.7,311.7,322.55,290.0,-2.97,1.16,3.81,-0.32,7.68
MRF.NS,SELL WATCHLIST,129710.0,130150.0,134100.0,122250.0,-0.55,1.04,3.38,-0.34,7.66
